entity_id,reldesc,reltype,relatedEntityId
140546,NULL,Membership,139722
140584,Partner,Membership,140542
141468,NULL,Hierarchy,76792
142184,Investor,Ownership,75585
142184,Investor,Ownership,143576
145192,subsidiary,Hierarchy,208
146570,NULL,Ownership,106298
149735,"Campaign Contribution",Donation,149745
158148,"logisitics provider",Transaction,197979
164429,Donation,Donation,164423
164539,Donation,Donation,164332
184558,Owner,Ownership,184184
193705,Grant,Donation,41893
193705,Grant,Donation,41880
193705,Grant,Donation,89650
193705,Grant,Donation,37180
193705,Grant,Donation,89266
193705,Grant,Donation,48452
193705,Grant,Donation,108921
193705,Grant,Donation,101128
193705,Grant,Donation,37944
193705,Grant,Donation,193707
193705,Grant,Donation,35000
193705,Grant,Donation,193708
193705,Grant,Donation,116882
193705,Grant,Donation,52228
193705,Grant,Donation,89666
193705,Grant,Donation,84613
193705,Grant,Donation,193710
193705,Grant,Donation,157590
193705,Grant,Donation,41446
193705,Grant,Donation,33796
193705,Grant,Donation,41854
193705,Grant,Donation,38195
193705,Grant,Donation,173161
193705,Grant,Donation,84691
193705,Grant,Donation,193712
193705,Grant,Donation,193713
193705,Grant,Donation,48388
193705,Grant,Donation,143470
193705,Grant,Donation,193716
193705,Grant,Donation,193717
193705,Grant,Donation,193718
193705,Grant,Donation,41887
193705,Grant,Donation,193719
193705,Grant,Donation,89517
193705,Grant,Donation,127524
193705,Grant,Donation,193869
193705,Grant,Donation,193870
193705,Grant,Donation,48613
193705,Grant,Donation,193871
193705,Grant,Donation,193872
193705,Grant,Donation,193873
193713,"co-signed petition against Health Care Reform bill",Transaction,48201
193713,member,Membership,48388
193713,NULL,Hierarchy,35000
202400,Member,Membership,202386
206460,NULL,Ownership,206461
213364,"Holding Company",Ownership,35085
225708,"a client",Transaction,175582
225708,"a tenant",Transaction,225713
226051,acquisition,Hierarchy,43146
226051,subsidiary,Hierarchy,34866
226051,"Majority owner",Ownership,226065
226051,NULL,Ownership,226066
226051,NULL,Ownership,226067
